"K","x","y","P","r","g","b"
100,0.6472,0.3506,2525000,1,0.0401,0
200,0.6472,0.3506,2525000,1,0.0401,0
300,0.6472,0.3506,2525000,1,0.0401,0
400,0.6472,0.3506,2525000,1,0.0401,0
500,0.6472,0.3506,2525000,1,0.0401,0
600,0.6472,0.3506,2525000,1,0.0401,0
700,0.6472,0.3506,2525000,1,0.0401,0
800,0.6472,0.3506,2525000,1,0.0401,0
900,0.6472,0.3506,2525000,1,0.0401,0
1000,0.6472,0.3506,2525000,1,0.0401,0
1100,0.6348,0.3612,21620000,1,0.0631,0
1200,0.6225,0.371,131400000,1,0.086,0
1300,0.6104,0.3797,611800000,1,0.1085,0
1400,0.5983,0.3874,2.306e+09,1,0.1303,0
1500,0.5864,0.394,7.333e+09,1,0.1515,0
1600,0.5747,0.3996,2.028e+10,1,0.1718,0
1700,0.5632,0.4041,4.999e+10,1,0.1912,0
1800,0.5519,0.4077,1.118e+11,1,0.2097,0
1900,0.5408,0.4104,2.305e+11,1,0.2272,0
2000,0.53,0.4123,4.431e+11,1,0.2484,0.0061
2100,0.5195,0.4134,8.018e+11,1,0.2709,0.0153
2200,0.5093,0.4139,1.377e+12,1,0.293,0.0257
2300,0.4995,0.4138,2.26e+12,1,0.3149,0.0373
2400,0.49,0.4132,3.563e+12,1,0.3364,0.0501
2500,0.4808,0.4122,5.422e+12,1,0.3577,0.064
2600,0.472,0.4108,7.996e+12,1,0.3786,0.079
2700,0.4636,0.4091,1.147e+13,1,0.3992,0.095
2800,0.4555,0.4071,1.604e+13,1,0.4195,0.1119
2900,0.4478,0.405,2.193e+13,1,0.4394,0.1297
3000,0.4404,0.4026,2.939e+13,1,0.4589,0.1483
3100,0.4333,0.4002,3.866e+13,1,0.4781,0.1677
3200,0.4266,0.3976,5.002e+13,1,0.497,0.1879
3300,0.4202,0.395,6.374e+13,1,0.5155,0.2087
3400,0.414,0.3923,8.01e+13,1,0.5336,0.2301
3500,0.4082,0.3895,9.939e+13,1,0.5515,0.252
3600,0.4026,0.3868,1.219e+14,1,0.5689,0.2745
3700,0.3973,0.3841,1.479e+14,1,0.586,0.2974
3800,0.3922,0.3813,1.776e+14,1,0.6028,0.3207
3900,0.3873,0.3786,2.115e+14,1,0.6193,0.3444
4000,0.3827,0.3759,2.496e+14,1,0.6354,0.3684
4100,0.3783,0.3733,2.923e+14,1,0.6511,0.3927
4200,0.3741,0.3707,3.397e+14,1,0.6666,0.4172
4300,0.3701,0.3681,3.922e+14,1,0.6817,0.4419
4400,0.3662,0.3656,4.5e+14,1,0.6966,0.4668
4500,0.3625,0.3631,5.132e+14,1,0.7111,0.4919
4600,0.359,0.3607,5.82e+14,1,0.7253,0.517
4700,0.3557,0.3583,6.567e+14,1,0.7392,0.5422
4800,0.3524,0.356,7.373e+14,1,0.7528,0.5675
4900,0.3494,0.3538,8.24e+14,1,0.7661,0.5928
5000,0.3464,0.3516,9.17e+14,1,0.7792,0.618
5100,0.3436,0.3494,1.016e+15,1,0.7919,0.6433
5200,0.3409,0.3473,1.122e+15,1,0.8044,0.6685
5300,0.3383,0.3453,1.234e+15,1,0.8167,0.6937
5400,0.3358,0.3433,1.353e+15,1,0.8286,0.7187
5500,0.3334,0.3413,1.479e+15,1,0.8403,0.7437
5600,0.3311,0.3394,1.611e+15,1,0.8518,0.7686
5700,0.3289,0.3376,1.75e+15,1,0.863,0.7933
5800,0.3268,0.3358,1.896e+15,1,0.874,0.8179
5900,0.3247,0.3341,2.049e+15,1,0.8847,0.8424
6000,0.3228,0.3324,2.208e+15,1,0.8952,0.8666
6100,0.3209,0.3307,2.374e+15,1,0.9055,0.8907
6200,0.319,0.3291,2.548e+15,1,0.9156,0.9147
6300,0.3173,0.3275,2.728e+15,1,0.9254,0.9384
6400,0.3156,0.326,2.914e+15,1,0.9351,0.9619
6500,0.314,0.3245,3.108e+15,1,0.9445,0.9853
6600,0.3124,0.3231,3.308e+15,0.9917,0.9458,1
6700,0.3109,0.3217,3.515e+15,0.9696,0.9336,1
6800,0.3094,0.3203,3.728e+15,0.9488,0.9219,1
6900,0.308,0.319,3.948e+15,0.929,0.9107,1
7000,0.3066,0.3177,4.174e+15,0.9102,0.9,1
7100,0.3053,0.3164,4.407e+15,0.8923,0.8897,1
7200,0.304,0.3152,4.647e+15,0.8753,0.8799,1
7300,0.3028,0.314,4.892e+15,0.8591,0.8704,1
7400,0.3016,0.3128,5.144e+15,0.8437,0.8614,1
7500,0.3004,0.3117,5.402e+15,0.8289,0.8527,1
7600,0.2993,0.3106,5.666e+15,0.8149,0.8443,1
7700,0.2982,0.3095,5.937e+15,0.8014,0.8363,1
7800,0.2971,0.3084,6.213e+15,0.7885,0.8285,1
7900,0.2961,0.3074,6.495e+15,0.7762,0.8211,1
8000,0.2951,0.3064,6.783e+15,0.7644,0.8139,1
8100,0.2942,0.3054,7.076e+15,0.7531,0.8069,1
8200,0.2932,0.3044,7.376e+15,0.7423,0.8002,1
8300,0.2923,0.3035,7.681e+15,0.7319,0.7938,1
8400,0.2914,0.3026,7.991e+15,0.7219,0.7875,1
8500,0.2906,0.3017,8.307e+15,0.7123,0.7815,1
8600,0.2897,0.3008,8.628e+15,0.703,0.7757,1
8700,0.2889,0.3,8.954e+15,0.6941,0.77,1
8800,0.2881,0.2992,9.285e+15,0.6856,0.7645,1
8900,0.2874,0.2983,9.622e+15,0.6773,0.7593,1
9000,0.2866,0.2976,9.964e+15,0.6693,0.7541,1
9100,0.2859,0.2968,1.031e+16,0.6617,0.7492,1
9200,0.2852,0.296,1.066e+16,0.6543,0.7444,1
9300,0.2845,0.2953,1.102e+16,0.6471,0.7397,1
9400,0.2839,0.2946,1.138e+16,0.6402,0.7352,1
9500,0.2832,0.2939,1.174e+16,0.6335,0.7308,1
9600,0.2826,0.2932,1.211e+16,0.6271,0.7265,1
9700,0.282,0.2925,1.249e+16,0.6208,0.7224,1
9800,0.2813,0.2918,1.287e+16,0.6148,0.7183,1
9900,0.2808,0.2912,1.325e+16,0.6089,0.7144,1
10000,0.2802,0.2905,1.364e+16,0.6033,0.7106,1
10100,0.2796,0.2899,1.403e+16,0.5978,0.7069,1
10200,0.2791,0.2893,1.442e+16,0.5925,0.7033,1
10300,0.2785,0.2887,1.482e+16,0.5873,0.6998,1
10400,0.278,0.2881,1.523e+16,0.5823,0.6964,1
10500,0.2775,0.2876,1.563e+16,0.5774,0.693,1
10600,0.277,0.287,1.605e+16,0.5727,0.6898,1
10700,0.2765,0.2865,1.646e+16,0.5681,0.6866,1
10800,0.2761,0.2859,1.688e+16,0.5637,0.6836,1
10900,0.2756,0.2854,1.73e+16,0.5593,0.6806,1
11000,0.2751,0.2849,1.773e+16,0.5551,0.6776,1
11100,0.2747,0.2844,1.816e+16,0.551,0.6748,1
11200,0.2743,0.2839,1.859e+16,0.547,0.672,1
11300,0.2738,0.2834,1.903e+16,0.5432,0.6693,1
11400,0.2734,0.2829,1.947e+16,0.5394,0.6666,1
11500,0.273,0.2825,1.991e+16,0.5357,0.664,1
11600,0.2726,0.282,2.036e+16,0.5322,0.6615,1
11700,0.2722,0.2816,2.081e+16,0.5287,0.659,1
11800,0.2719,0.2811,2.126e+16,0.5253,0.6566,1
11900,0.2715,0.2807,2.171e+16,0.522,0.6542,1
